link,judul,tanggal,kategori
https://megapolitan.kompas.com/read/2019/11/26/20512841/cerita-penyandang-disabilitas-yang-terperosok-di-peron-stasiun-cikini,Cerita Penyandang Disabilitas yang Terperosok di Peron Stasiun Cikini,"26/11/2019, 20:51 WIB",NEWS
https://regional.kompas.com/read/2019/11/26/20510431/korban-banjir-dan-longsor-solok-selatan-mulai-terserang-penyakit,Korban Banjir dan Longsor Solok Selatan Mulai Terserang Penyakit,"26/11/2019, 20:51 WIB",NEWS
https://lifestyle.kompas.com/read/2019/11/26/204857120/manfaat-keong-darat-untuk-sembuhkan-luka,Manfaat Keong Darat untuk Sembuhkan Luka,"26/11/2019, 20:48 WIB",LIFESTYLE
https://nasional.kompas.com/read/2019/11/26/20422711/investigasi-wn-jepang-yang-disebut-lompat-dari-apartemen-polisi-periksa-3,"Investigasi WN Jepang yang Disebut Lompat dari Apartemen, Polisi Periksa 3 Saksi","26/11/2019, 20:42 WIB",NEWS
https://money.kompas.com/read/2019/11/26/204218826/imei-diberlakukan-pedagang-ponsel-memperkirakan-akan-rugi-50-persen,"IMEI DIberlakukan, Pedagang Ponsel Memperkirakan akan Rugi 50 Persen","26/11/2019, 20:42 WIB",MONEY
https://bola.kompas.com/read/2019/11/26/20420088/bhayangkara-vs-arema-makan-konate-dan-alfin-absen,"Bhayangkara Vs Arema, Makan Konate dan Alfin Absen","26/11/2019, 20:42 WIB",BOLA
https://regional.kompas.com/read/2019/11/26/20415821/25000-keluarga-di-sulawesi-utara-belum-nikmati-listrik,25.000 Keluarga di Sulawesi Utara Belum Nikmati Listrik,"26/11/2019, 20:41 WIB",NEWS
https://www.kompas.com/hype/read/2019/11/26/204146966/kepada-para-perempuan-korban-kekerasan-hannah-al-rashid-lo-enggak-sendirian,"Kepada Para Perempuan Korban Kekerasan, Hannah Al Rashid: Lo Enggak Sendirian!","26/11/2019, 20:41 WIB",HYPE
https://nasional.kompas.com/read/2019/11/26/20402401/moeldoko-sebut-usulan-penambahan-masa-jabatan-presiden-bukan-dari-istana,Moeldoko Sebut Usulan Penambahan Masa Jabatan Presiden Bukan dari Istana,"26/11/2019, 20:40 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20400101/bamsoet-wacana-masa-jabatan-presiden-tiga-periode-bukan-dari-mpr,Bamsoet: Wacana Masa Jabatan Presiden Tiga Periode Bukan dari MPR!,"26/11/2019, 20:40 WIB",NEWS
https://regional.kompas.com/read/2019/11/26/20381521/bunga-bangkai-tumbuh-di-pemukiman-padat-penduduk-kota-bandung,Bunga Bangkai Tumbuh di Pemukiman Padat Penduduk Kota Bandung,"26/11/2019, 20:38 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20355671/blangko-e-ktp-kurang-mendagri-sebut-itu-tumpahan-masalah,"Blangko E-KTP Kurang, Mendagri Sebut Itu Tumpahan Masalah","26/11/2019, 20:35 WIB",NEWS
https://www.kompas.com/hype/read/2019/11/26/203131866/agnez-mo-posting-dukungan-warganet-usai-tuai-kontroversi-soal-darah,Agnez Mo Posting Dukungan Warganet Usai Tuai Kontroversi soal Darah Indonesia,"26/11/2019, 20:31 WIB",HYPE
https://www.kompas.com/hype/read/2019/11/26/203019166/pemeran-serial-nkcthi-berbagi-kisah-selama-syuting-rachel-amanda-cuma-6,"Pemeran Serial NKCTHI Berbagi Kisah Selama Syuting, Rachel Amanda: Cuma 6 Hari","26/11/2019, 20:30 WIB",HYPE
https://nasional.kompas.com/read/2019/11/26/20294031/kkr-harus-jadi-ruang-bagi-korban-pelanggaran-ham-masa-lalu-untuk-bicara,KKR Harus Jadi Ruang bagi Korban Pelanggaran HAM Masa Lalu untuk Bicara,"26/11/2019, 20:29 WIB",NEWS
https://megapolitan.kompas.com/read/2019/11/26/20294001/usulan-anggaran-2020-dki-jakarta-disepakati-sebesar-rp-8795-triliun,"Usulan Anggaran 2020 DKI Jakarta Disepakati Sebesar Rp 87,95 Triliun","26/11/2019, 20:29 WIB",NEWS
https://regional.kompas.com/read/2019/11/26/20293531/pengusaha-tahu-di-sidoarjo-janji-tak-lagi-gunakan-limbah-plastik-asal,"Pengusaha Tahu di Sidoarjo Janji Tak Lagi Gunakan Limbah Plastik, Asal...","26/11/2019, 20:29 WIB",NEWS
https://regional.kompas.com/read/2019/11/26/20251791/perampok-beraksi-siang-hari-acungkan-celurit-rampas-emas,"Perampok Beraksi Siang Hari, Acungkan Celurit, Rampas Emas","26/11/2019, 20:25 WIB",NEWS
https://bola.kompas.com/read/2019/11/26/20210048/coutinho-mengatakan-hansi-flick-mengubah-bayern-muenchen,Coutinho Mengatakan Hansi Flick Mengubah Bayern Muenchen,"26/11/2019, 20:21 WIB",BOLA
https://regional.kompas.com/read/2019/11/26/20175791/pengelola-mal-angkat-bicara-soal-imbauan-tak-pakai-atribut-natal,Pengelola Mal Angkat Bicara soal Imbauan Tak Pakai Atribut Natal,"26/11/2019, 20:17 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20174921/polri-mengaku-personelnya-cukup-untuk-antisipasi-hut-opm-di-papua,Polri Mengaku Personelnya Cukup untuk Antisipasi HUT OPM di Papua,"26/11/2019, 20:17 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20173181/polri-pastikan-proses-hukum-tersangka-di-papua-dilanjutkan,Polri Pastikan Proses Hukum Tersangka di Papua Dilanjutkan,"26/11/2019, 20:17 WIB",NEWS
https://megapolitan.kompas.com/read/2019/11/26/20153881/tangsel-berusia-11-tahun-benyamin-soroti-masalah-sampah,"Tangsel Berusia 11 Tahun, Benyamin Soroti Masalah Sampah","26/11/2019, 20:15 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20120051/selesai-diperiksa-kpk-wagub-lampung-chusnunia-halim-bungkam,"Selesai Diperiksa KPK, Wagub Lampung Chusnunia Halim Bungkam","26/11/2019, 20:12 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20050571/pimpinan-komisi-iii-pertanyakan-grasi-untuk-annas-maamun,Pimpinan Komisi III Pertanyakan Grasi untuk Annas Maamun,"26/11/2019, 20:05 WIB",NEWS
https://sains.kompas.com/read/2019/11/26/200400423/kebisingan-yang-dihasilkan-manusia-jadi-polutan-global,Kebisingan yang Dihasilkan Manusia Jadi Polutan Global,"26/11/2019, 20:04 WIB",SAINS
https://bola.kompas.com/read/2019/11/26/20030068/bertandang-ke-markas-bali-united-persib-bandung-bawa-20-pemain,"Bertandang ke Markas Bali United, Persib Bandung Bawa 20 Pemain","26/11/2019, 20:03 WIB",BOLA
https://nasional.kompas.com/read/2019/11/26/20022781/kpk-kaget-presiden-jokowi-beri-grasi-ke-mantan-gubernur-riau,KPK Kaget Presiden Jokowi Beri Grasi ke Mantan Gubernur Riau,"26/11/2019, 20:02 WIB",NEWS
https://money.kompas.com/read/2019/11/26/200136326/tahun-depan-bni-targetkan-pertumbuhan-laba-yang-agresif,"Tahun Depan, BNI Targetkan Pertumbuhan Laba yang Agresif ","26/11/2019, 20:01 WIB",MONEY
https://www.kompas.com/tren/read/2019/11/26/200000865/studi--tinggal-di-dekat-jalan-raya-tingkatkan-risiko-kanker-paru-paru,Studi: Tinggal di Dekat Jalan Raya Tingkatkan Risiko Kanker Paru-Paru,"26/11/2019, 20:00 WIB",TREN
https://travel.kompas.com/read/2019/11/26/200000127/5-hidangan-sichuan-yang-wajib-kamu-coba,5 Hidangan Sichuan yang Wajib Kamu Coba,"26/11/2019, 20:00 WIB",TRAVEL
https://money.kompas.com/read/2019/11/26/195941826/regulasi-imei-diterapkan-2020-ini-permintaan-penjual-ponsel,"Regulasi IMEI Diterapkan 2020, Ini Permintaan Penjual Ponsel ","26/11/2019, 19:59 WIB",MONEY
https://regional.kompas.com/read/2019/11/26/19554931/siswa-lhokseumawe-tenggelam-di-obyek-wisata-ujong-bate,Siswa Lhokseumawe Tenggelam di Obyek Wisata Ujong Bate,"26/11/2019, 19:55 WIB",NEWS
https://www.kompas.com/hype/read/2019/11/26/195214266/wafda-saifan-wujudkan-mimpi-jadi-arsitek-di-serial-nkcthi,Wafda Saifan Wujudkan Mimpi Jadi Arsitek di Serial NKCTHI,"26/11/2019, 19:52 WIB",HYPE
https://tekno.kompas.com/read/2019/11/26/19490087/video-15-detik-ungkap-kelahiran-ponsel-nokia-baru,Video 15 Detik Ungkap Kelahiran Ponsel Nokia Baru,"26/11/2019, 19:49 WIB",TEKNO
https://regional.kompas.com/read/2019/11/26/19475631/buku-biru-diduga-catatan-suap-bupati-muara-enim-dipamerkan-jaksa,"Buku Biru Diduga Catatan Suap Bupati Muara Enim ""Dipamerkan"" Jaksa","26/11/2019, 19:47 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/19452851/eks-gubernur-riau-annas-maamun-ajukan-grasi-karena-uzur-dan-sakit-sakitan,Eks Gubernur Riau Annas Maamun Ajukan Grasi karena Uzur dan Sakit-sakitan,"26/11/2019, 19:45 WIB",NEWS
https://www.kompas.com/hype/read/2019/11/26/194505766/konser-day6-empat-hari-lagi-wonpil-yuk-weekend-bareng,"Konser DAY6 Empat Hari Lagi, Wonpil: Yuk Weekend Bareng!","26/11/2019, 19:45 WIB",HYPE
https://regional.kompas.com/read/2019/11/26/19445421/coba-takuti-polisi-dengan-pistol-mainan-begal-motor-ditembak,"Coba Takuti Polisi dengan Pistol Mainan, Begal Motor Ditembak","26/11/2019, 19:44 WIB",NEWS
https://regional.kompas.com/read/2019/11/26/19410421/ojek-online-kesenggol-truk-mahasiswi-unpad-jatinangor-tewas-terlindas,"Ojek Online Kesenggol Truk, Mahasiswi Unpad Jatinangor Tewas Terlindas","26/11/2019, 19:41 WIB",NEWS
